Date,Close,Volume,tic,OPM,NPM,ROA,EPS,BPS,cur_ratio,quick_ratio,cash_ratio,inv_turnover,acc_rec_turnover,acc_pay_turnover,debt_ratio
2000-03-31,1.2126120328903198,404633600,AAPL,0.0704601871300362,0.0949016612564445,0.0709290709290709,2.57,24.98770592574379,2.6508364813815435,2.454937938478144,1.947652455477604,376.1,5.571276595744681,3.385238523852385,0.3984586841729698
2000-04-03,1.1902899742126465,328563200,AAPL,0.0704601871300362,0.0949016612564445,0.0709290709290709,2.57,24.98770592574379,2.6508364813815435,2.454937938478144,1.947652455477604,376.1,5.571276595744681,3.385238523852385,0.3984586841729698
2000-04-04,1.136718988418579,660329600,AAPL,0.0704601871300362,0.0949016612564445,0.0709290709290709,2.57,24.98770592574379,2.6508364813815435,2.454937938478144,1.947652455477604,376.1,5.571276595744681,3.385238523852385,0.3984586841729698
2000-04-05,1.1640629768371582,457665600,AAPL,0.0704601871300362,0.0949016612564445,0.0709290709290709,2.57,24.98770592574379,2.6508364813815435,2.454937938478144,1.947652455477604,376.1,5.571276595744681,3.385238523852385,0.3984586841729698
2000-04-06,1.1177459955215454,259627200,AAPL,0.0704601871300362,0.0949016612564445,0.0709290709290709,2.57,24.98770592574379,2.6508364813815435,2.454937938478144,1.947652455477604,376.1,5.571276595744681,3.385238523852385,0.3984586841729698
2000-04-07,1.176339030265808,242435200,AAPL,0.0704601871300362,0.0949016612564445,0.0709290709290709,2.57,24.98770592574379,2.6508364813815435,2.454937938478144,1.947652455477604,376.1,5.571276595744681,3.385238523852385,0.3984586841729698
2000-04-10,1.1160709857940674,212262400,AAPL,0.0704601871300362,0.0949016612564445,0.0709290709290709,2.57,24.98770592574379,2.6508364813815435,2.454937938478144,1.947652455477604,376.1,5.571276595744681,3.385238523852385,0.3984586841729698
2000-04-11,1.066406011581421,541822400,AAPL,0.0704601871300362,0.0949016612564445,0.0709290709290709,2.57,24.98770592574379,2.6508364813815435,2.454937938478144,1.947652455477604,376.1,5.571276595744681,3.385238523852385,0.3984586841729698
2000-04-12,0.9754459857940674,941136000,AAPL,0.0704601871300362,0.0949016612564445,0.0709290709290709,2.57,24.98770592574379,2.6508364813815435,2.454937938478144,1.947652455477604,376.1,5.571276595744681,3.385238523852385,0.3984586841729698
2000-04-13,1.0161830186843872,529827200,AAPL,0.0704601871300362,0.0949016612564445,0.0709290709290709,2.57,24.98770592574379,2.6508364813815435,2.454937938478144,1.947652455477604,376.1,5.571276595744681,3.385238523852385,0.3984586841729698
2000-04-14,0.9988840222358704,667620800,AAPL,0.0704601871300362,0.0949016612564445,0.0709290709290709,2.57,24.98770592574379,2.6508364813815435,2.454937938478144,1.947652455477604,376.1,5.571276595744681,3.385238523852385,0.3984586841729698
2000-04-17,1.1060270071029663,409561600,AAPL,0.0704601871300362,0.0949016612564445,0.0709290709290709,2.57,24.98770592574379,2.6508364813815435,2.454937938478144,1.947652455477604,376.1,5.571276595744681,3.385238523852385,0.3984586841729698
2000-04-18,1.1328129768371582,390924800,AAPL,0.0704601871300362,0.0949016612564445,0.0709290709290709,2.57,24.98770592574379,2.6508364813815435,2.454937938478144,1.947652455477604,376.1,5.571276595744681,3.385238523852385,0.3984586841729698
2000-04-19,1.0814729928970337,520150400,AAPL,0.0704601871300362,0.0949016612564445,0.0709290709290709,2.57,24.98770592574379,2.6508364813815435,2.454937938478144,1.947652455477604,376.1,5.571276595744681,3.385238523852385,0.3984586841729698
2000-04-20,1.0613839626312256,722120000,AAPL,0.0704601871300362,0.0949016612564445,0.0709290709290709,2.57,24.98770592574379,2.6508364813815435,2.454937938478144,1.947652455477604,376.1,5.571276595744681,3.385238523852385,0.3984586841729698
